Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-05 16:12:44Z : PB = 447541248 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-12-05 16:16:01Z : PB = 466157568 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:01Z : PB = 466157568 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:01Z : PB = 466165760 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:01Z : PB = 466165760 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:01Z : PB = 466165760 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:01Z : PB = 474275840 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:01Z : PB = 474275840 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:01Z : PB = 474275840 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:01Z : PB = 474275840 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:01Z : PB = 474275840 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:01Z : PB = 474288128 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:01Z : PB = 474288128 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:01Z : PB = 474288128 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 479735808 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 479735808 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 479735808 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 479735808 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 479735808 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 479735808 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 479735808 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 479735808 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 483180544 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 483180544 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 483180544 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 483180544 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 483180544 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 483196928 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 483196928 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 483196928 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 487698432 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 487698432 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 487698432 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 487698432 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 487698432 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 488574976 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 488574976 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 488574976 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 494321664 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 494321664 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 494321664 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 494321664 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 494321664 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 491405312 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 491536384 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 491601920 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 501481472 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 501481472 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 501481472 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 501481472 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 501481472 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 502730752 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 502730752 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 502730752 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 507826176 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 507826176 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 507826176 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 507826176 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 507826176 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 508678144 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 508678144 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 508678144 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 514785280 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 514785280 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 514785280 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 514785280 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 514785280 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 514789376 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 514789376 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 514789376 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 488505344 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 488505344 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 488505344 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 488505344 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 488505344 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 488570880 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 488570880 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 488701952 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:02Z : PB = 487870464 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:02Z : PB = 488001536 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:02Z : PB = 488067072 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:02Z : PB = 488132608 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:02Z : PB = 488263680 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:02Z : PB = 486506496 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:02Z : PB = 486506496 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:02Z : PB = 486506496 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 486588416 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 486588416 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 486588416 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 486588416 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:03Z : PB = 486588416 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:03Z : PB = 486588416 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:03Z : PB = 486588416 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:03Z : PB = 486588416 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 489320448 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 489320448 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 489320448 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 489320448 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:03Z : PB = 489320448 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:03Z : PB = 489324544 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:03Z : PB = 489324544 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:03Z : PB = 489324544 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 492052480 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 492052480 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 492052480 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 492052480 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:03Z : PB = 492052480 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:03Z : PB = 492052480 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:03Z : PB = 492052480 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:03Z : PB = 492052480 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 494788608 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 494788608 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 494788608 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 494788608 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:03Z : PB = 494788608 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:03Z : PB = 494804992 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:03Z : PB = 494804992 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:03Z : PB = 494804992 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 500019200 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 500019200 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 500019200 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 500019200 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:03Z : PB = 500023296 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:03Z : PB = 500023296 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:03Z : PB = 500023296 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:03Z : PB = 500023296 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 504856576 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 504856576 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 504856576 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 504856576 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-05 16:16:03Z : PB = 504856576 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-05 16:16:03Z : PB = 504856576 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-05 16:16:03Z : PB = 504856576 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-05 16:16:03Z : PB = 504856576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-05 16:16:03Z : PB = 508301312 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-05 16:16:03Z : PB = 508301312 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-05 16:16:03Z : PB = 508301312 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-05 16:16:03Z : PB = 508301312 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
