Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-09 10:21:06Z : PB = 365338624 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-09 10:21:10Z : PB = 367865856 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:10Z : PB = 367869952 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:10Z : PB = 367890432 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:10Z : PB = 370700288 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:10Z : PB = 370700288 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:10Z : PB = 370733056 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:10Z : PB = 370733056 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:10Z : PB = 370733056 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:10Z : PB = 370741248 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:10Z : PB = 370741248 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:10Z : PB = 370741248 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:10Z : PB = 377364480 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:10Z : PB = 377364480 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:10Z : PB = 377368576 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:10Z : PB = 377368576 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:10Z : PB = 377368576 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 375832576 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 375832576 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 375832576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 382496768 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 382496768 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 382496768 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 382496768 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 382496768 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 382496768 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 382496768 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 382496768 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 387305472 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 387305472 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 387305472 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 387305472 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 387305472 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 387330048 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 387330048 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 387330048 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 393121792 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 393121792 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 393121792 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 393121792 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 393121792 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 393121792 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 393121792 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 393121792 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 398475264 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 398475264 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 398475264 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 398475264 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 398475264 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 398639104 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 398639104 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 398639104 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 404254720 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 404254720 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 404254720 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 404254720 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 404275200 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 404275200 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 404275200 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 404275200 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 411131904 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 411131904 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 411131904 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 411131904 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 411131904 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 411746304 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:11Z : PB = 411746304 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:11Z : PB = 411746304 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:11Z : PB = 418750464 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:11Z : PB = 418770944 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:11Z : PB = 418770944 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:11Z : PB = 418770944 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:11Z : PB = 418770944 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:11Z : PB = 418787328 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:12Z : PB = 418787328 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:12Z : PB = 418787328 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:12Z : PB = 388907008 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:12Z : PB = 388907008 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:12Z : PB = 388907008 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:12Z : PB = 388907008 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:12Z : PB = 388907008 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:12Z : PB = 388915200 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:12Z : PB = 388915200 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:12Z : PB = 388915200 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:12Z : PB = 392130560 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:12Z : PB = 392130560 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:12Z : PB = 392130560 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:12Z : PB = 392130560 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:12Z : PB = 392130560 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:12Z : PB = 392134656 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:12Z : PB = 392134656 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:12Z : PB = 392134656 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:12Z : PB = 398397440 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:12Z : PB = 398397440 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:12Z : PB = 398397440 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:12Z : PB = 398417920 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:12Z : PB = 398417920 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:12Z : PB = 398426112 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:12Z : PB = 398491648 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:12Z : PB = 398557184 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:12Z : PB = 398966784 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:12Z : PB = 399097856 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:12Z : PB = 399163392 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:12Z : PB = 399228928 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:21:12Z : PB = 399360000 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:21:12Z : PB = 399491072 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:21:12Z : PB = 399491072 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:21:12Z : PB = 399491072 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:21:13Z : PB = 405901312 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:21:13Z : PB = 405901312 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:21:13Z : PB = 405901312 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:21:13Z : PB = 405901312 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2022-10-09 10:21:13Z : PB = 405901312 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2022-10-09 10:21:13Z : PB = 405905408 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2022-10-09 10:21:13Z : PB = 405905408 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2022-10-09 10:21:13Z : PB = 405905408 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2022-10-09 10:21:13Z : PB = 405905408 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2022-10-09 10:21:15Z : PB = 401649664 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2022-10-09 10:21:15Z : PB = 401649664 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2022-10-09 10:21:15Z : PB = 401715200 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-09 10:22:49Z : PB = 396959744 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-10-09 10:22:49Z : PB = 397516800 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-09 10:22:49Z : PB = 398147584 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-10-09 10:22:49Z : PB = 398147584 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-10-09 10:22:49Z : PB = 398147584 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-10-09 10:22:49Z : PB = 397520896 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-10-09 10:22:49Z : PB = 397520896 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-10-09 10:22:49Z : PB = 397520896 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:49Z : PB = 397520896 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:49Z : PB = 397524992 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:49Z : PB = 397524992 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:49Z : PB = 397524992 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:49Z : PB = 403288064 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:49Z : PB = 403288064 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:49Z : PB = 403288064 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:49Z : PB = 403443712 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:49Z : PB = 403529728 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:49Z : PB = 403599360 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:49Z : PB = 403599360 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:49Z : PB = 403599360 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 405524480 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 405524480 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 405524480 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 405524480 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 405524480 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 405524480 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:50Z : PB = 405524480 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 405524480 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 411648000 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 411648000 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 411648000 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 411648000 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 411648000 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 411648000 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:50Z : PB = 411648000 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 411648000 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 417030144 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 417030144 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 417030144 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 417030144 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 417030144 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 417030144 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:50Z : PB = 417030144 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 417030144 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 422039552 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 422039552 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 422039552 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 422039552 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 422039552 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 422039552 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
